,Ozone,Solar,Wind,Month,Day,Year,Temp,Weather
0,41.0,190.0,7.4,5,1,2010,67,S
1,36.0,118.0,8.0,5,2,2010,72,C
2,12.0,149.0,12.6,5,3,2010,74,PS
3,18.0,313.0,11.5,5,4,2010,62,S
4,42.0,199.0,14.3,5,5,2010,56,S
5,28.0,199.0,14.9,5,6,2010,66,C
6,23.0,299.0,8.6,5,7,2010,65,PS
7,19.0,99.0,13.8,5,8,2010,59,C
8,8.0,19.0,20.1,5,9,2010,61,PS
9,42.0,194.0,8.6,5,10,2010,69,S
10,7.0,199.0,6.9,5,11,2010,74,C
11,16.0,256.0,9.7,5,12,2010,69,PS
12,11.0,290.0,9.2,5,13,2010,66,S
13,14.0,274.0,10.9,5,14,2010,68,S
14,18.0,65.0,13.2,5,15,2010,58,C
15,14.0,334.0,11.5,5,16,2010,64,S
16,34.0,307.0,12.0,5,17,2010,66,S
17,6.0,78.0,18.4,5,18,2010,57,C
18,30.0,322.0,11.5,5,19,2010,68,PS
19,11.0,44.0,9.7,5,20,2010,62,S
20,1.0,8.0,9.7,5,21,2010,59,S
21,11.0,320.0,16.6,5,22,2010,73,C
22,4.0,25.0,9.7,5,23,2010,61,PS
23,32.0,92.0,12.0,5,24,2010,61,C
24,42.0,66.0,16.6,5,25,2010,57,PS
25,42.0,266.0,14.9,5,26,2010,58,C
26,42.0,199.0,8.0,5,27,2010,57,PS
27,23.0,13.0,12.0,5,28,2010,67,S
28,45.0,252.0,14.9,5,29,2010,81,S
30,37.0,279.0,7.4,5,31,2010,76,PS
31,42.0,286.0,8.6,6,1,2010,78,S
32,42.0,287.0,9.7,6,2,2010,74,C
33,42.0,242.0,16.1,6,3,2010,67,PS
34,42.0,186.0,9.2,6,4,2010,84,C
35,42.0,220.0,8.6,6,5,2010,85,PS
36,42.0,264.0,14.3,6,6,2010,79,C
37,29.0,127.0,9.7,6,7,2010,82,PS
38,42.0,273.0,6.9,6,8,2010,87,S
39,71.0,291.0,13.8,6,9,2010,90,S
40,39.0,323.0,11.5,6,10,2010,87,S
41,42.0,259.0,10.9,6,11,2010,93,C
42,42.0,250.0,9.2,6,12,2010,92,PS
43,23.0,148.0,8.0,6,13,2010,82,S
44,42.0,332.0,13.8,6,14,2010,80,S
45,42.0,322.0,11.5,6,15,2010,79,C
46,21.0,191.0,14.9,6,16,2010,77,PS
47,37.0,284.0,20.7,6,17,2010,72,C
48,20.0,37.0,9.2,6,18,2010,65,PS
49,12.0,120.0,11.5,6,19,2010,73,S
50,13.0,137.0,10.3,6,20,2010,76,S
51,42.0,150.0,6.3,6,21,2010,77,S
52,42.0,59.0,1.7,6,22,2010,76,C
53,42.0,91.0,4.6,6,23,2010,76,PS
54,42.0,250.0,6.3,6,24,2010,76,S
55,42.0,135.0,8.0,6,25,2010,75,C
56,42.0,127.0,8.0,6,26,2010,78,PS
57,42.0,47.0,10.3,6,27,2010,73,C
58,42.0,98.0,11.5,6,28,2010,80,PS
59,42.0,31.0,14.9,6,29,2010,77,S
60,42.0,138.0,8.0,6,30,2010,83,S
62,49.0,248.0,9.2,7,2,2010,85,C
63,32.0,236.0,9.2,7,3,2010,81,PS
64,42.0,101.0,10.9,7,4,2010,84,S
65,64.0,175.0,4.6,7,5,2010,83,S
66,40.0,314.0,10.9,7,6,2010,83,C
71,42.0,139.0,8.6,7,11,2010,82,S
72,10.0,264.0,14.3,7,12,2010,73,S
73,27.0,175.0,14.9,7,13,2010,81,S
74,42.0,291.0,14.9,7,14,2010,91,C
75,7.0,48.0,14.3,7,15,2010,80,PS
76,48.0,260.0,6.9,7,16,2010,81,S
